lemma_plural,lemma_singular,classification
coronel-murtenses,coronel-murtense,A+NA:mp:fp
coronel-murtenses,coronel-murtense,N+NA:mp:fp
coronel-pachequense,coronel-pachequense,A+NA:ms:fs
coronel-pachequense,coronel-pachequense,N+NA:ms:fs
coronel-pachequenses,coronel-pachequense,A+NA:mp:fp
coronel-pachequenses,coronel-pachequense,N+NA:mp:fp
coronel-vividense,coronel-vividense,A+NA:ms:fs
coronel-vividenses,coronel-vividense,A+NA:mp:fp
corpo-a-corpo,corpo-a-corpo,N+NPN:ms:mp
corpo-de-prova,corpo-de-prova,N+NDN:ms
corpo-seco,corpo-seco,N+NA:ms
corpos-de-prova,corpo-de-prova,N+NDN:mp
corpos-secos,corpo-seco,N+NA:mp
corre-corre,corre-corre,N+VV:ms
corre-corres,corre-corre,N+VV:mp
correio-geral,correio-geral,N+NA:ms
correios-gerais,correio-geral,N+NA:mp
corres-corres,corre-corre,N+VV:mp
corta-luz,corta-luz,N+VN:ms
corta-luzes,corta-luz,N+VN:mp
cosme-e-damião,cosme-e-damião,N+NCONJN:ms
cosme-e-damiões,cosme-e-damião,N+NCONJN:mp
cosmes-e-damiões,cosme-e-damião,N+NCONJN:mp
costa-riquense,costa-riquense,A+NA:ms:fs
costa-riquenses,costa-riquense,A+NA:mp:fp
couve-flor,couve-flor,N+NN:fs
couves-flores,couve-flor,N+NN:fp
cova-do-ladrão,cova-do-ladrão,N+NDN:fs
covas-do-ladrão,cova-do-ladrão,N+NDN:fp
cover girl,cover girl,N+NN:fs
cow-boy,cow-boy,N+NN:ms
cravo-da-índia,cravo-da-índia,N+NDN:ms
cravo-de-defunto,cravo-de-defunto,N+NDN:ms
cravos-da-índia,cravo-da-índia,N+NDN:mp
cravos-de-defunto,cravo-de-defunto,N:mp
creio-em-deus-pai,creio-em-deus-pai,N+VPNN:ms:mp
criado-mudo,criado-mudo,N+NA:ms
criados-mudos,criado-mudo,N+NA:mp
crista-de-galo,crista-de-galo,N+NDN:fs
cristas-de-galo,crista-de-galo,N+NDN:fp
cristino-castrense,cristino-castrense,A+NA:ms:fs
cristino-castrenses,cristino-castrense,A+NA:mp:fp
cristão-novo,cristão-novo,N+NA:ms
cristão-velho,cristão-velho,N+NA:ms
cross-country,cross-country,N+NN:ms
cruz-almense,cruz-almense,A+NA:ms:fs
cruz-almenses,cruz-almense,A+NA:mp:fp
cruz-altense,cruz-altense,A+NA:ms:fs
cruz-altenses,cruz-altense,A+NA:mp:fp
cruz-de-malta,cruz-de-malta,N+NDN:fs
cruzes-de-malta,cruz-de-malta,N+NDN:fp
cu-de-boi,cu-de-boi,N+NDN:ms
cu-de-cachorro,cu-de-cachorro,N+NDN:ms
cu-de-ferro,cu-de-ferro,A+NDN:ms:fs
cu-de-judas,cu-de-judas,N+NDN:ms
cu-de-mãe-joana,cu-de-mãe-joana,N+NDNN:ms
cu-do-mundo,cu-do-mundo,N+NDN:ms
cu-doce,cu-doce,N+NA:ms:fs
cul-de-lampe,cul-de-lampe,N+NDN:ms
cul-de-sac,cul-de-sac,N+NDN:ms
currais-novense,currais-novense,A+NA:ms:fs
currais-novenses,currais-novense,A+NA:mp:fp
curta-metragem,curta-metragem,N+AN:ms
curtas-metragens,curta-metragem,N+AN:mp
curto-circuito,curto-circuito,N+AN:ms
curtos-circuitos,curto-circuito,N+AN:mp
cus-de-boi,cu-de-boi,N+NDN:mp
cus-de-cachorro,cu-de-cachorro,N+NDN:mp
cus-de-ferro,cu-de-ferro,A+NDN:mp:fp
cus-de-judas,cu-de-judas,N+NDN:mp
cus-de-mãe-joana,cu-de-mãe-joana,N+NDNN:mp
cus-do-mundo,cu-do-mundo,N+NDN:mp
cus-doces,cu-doce,N+NA:mp:fp
cuscuz-paulista,cuscuz-paulista,N+NA:ms
cuscuzes-paulistas,cuscuz-paulista,N+NA:mp
câmara-de-ar,câmara-de-ar,N+NDN:fs
câmaras-de-ar,câmara-de-ar,N+NDN:fp
cândido-mendense,cândido-mendense,A+NA:ms:fs
cândido-mendenses,cândido-mendense,A+NA:mp:fp
cândido-motense,cândido-motense,A+NA:ms:fs
cândido-motenses,cândido-motense,A+NA:mp:fp
cães-tinhosos,cão-tinhoso,N+NA:mp
cão-tinhoso,cão-tinhoso,N+NA:ms
cérebro-espinhais,cérebro-espinhal,A+NA:mp:fp
cérebro-espinhal,cérebro-espinhal,A+NA:ms:fs
céu da boca,céu da boca,N+NDN:ms
cê-cedilha,cê-cedilha,N+NN:ms
cê-cê,cê-cê,N+NN:ms
cê-cês,cê-cê,N+NN:mp
cê-dê-efe,cê-dê-efe,N+NNN:ms:fs
cê-dê-efes,cê-dê-efe,N+NNN:mp:fp
cês-cedilhas,cê-cedilha,N+NN:mp
cícero-dantense,cícero-dantense,A+NA:ms:fs
cícero-dantenses,cícero-dantense,A+NA:mp:fp
córrego-dantense,córrego-dantense,A+NA:ms:fs
córrego-dantenses,córrego-dantense,A+NA:mp:fp
côncavo-convexo,côncavo-convexo,A+NA:ms:fs
côncavo-convexos,côncavo-convexo,A+NA:mp:fp
dalai-lama,dalai-lama,N+NN:ms
dalai-lamas,dalai-lama,N+NN:mp
dama-do-paço,dama-do-paço,N+NDN:fs
damas-do-paço,dama-do-paço,N+NDN:fp
data base,data base,N+NN:fs
de-comer,de-comer,N+PV:ms:mp
decreto-lei,decreto-lei,N+NN:ms
decretos-leis,decreto-lei,N+NN:mp
dedo-duro,dedo-duro,N+NA:ms:fs
dedo-duráveis,dedo-durável,A+NA:mp:fp
dedo-durável,dedo-durável,A+NA:ms:fs
dedos-duros,dedo-duro,N+NA:mp:fp
dente-de-leite,dente-de-leite,N+NDN:ms
dentes-de-leite,dente-de-leite,N+NDN:mp
desenho-de-produto,desenho-de-produto,N+NDN:ms
desenhos-de-produto,desenho-de-produto,N+NDN:mp
desmancha-prazeres,desmancha-prazeres,N+VN:ms:mp:fs:fp
despedidas-de-verão,despedidas-de-verão,N+NDN:fp
deus-dará,deus-dará,N+NV:ms
deus-me-livre,deus-me-livre,N+NPROV:ms:mp
deus-nos-acuda,deus-nos-acuda,N+NPROV:ms
dia-a-dia,dia-a-dia,ADV+NPN
dia-a-dia,dia-a-dia,N+NPN:ms
dia-a-dias,dia-a-dia,N+NPN:mp
dias-a-dias,dia-a-dia,N+NPN:mp
disc-jóquei,disc-jóquei,N+NN:ms
disc-jóqueis,disc-jóquei,N+NN:mp
disse-que-disse,disse-que-disse,N+VPROV:ms:mp
dito-cujo,dito-cujo,N+APRO:ms
ditos-cujos,dito-cujo,N+APRO:mp
divina-pastorense,divina-pastorense,A+NA:ms:fs
divina-pastorenses,divina-pastorense,A+NA:mp:fp
divisa-novense,divisa-novense,A+NA:ms:fs
divisa-novenses,divisa-novense,A+NA:mp:fp
dize-tu-direi-eu,dize-tu-direi-eu,N+VPROVPRO:ms:mp
doce-de-coco,doce-de-coco,N+NDN:ms
dois-correguense,dois-correguense,A+NA:ms:fs
dois-correguenses,dois-correguense,A+NA:mp:fp
dois-de-paus,dois-de-paus,N+DETDN:ms:mp
dois-pontos,dois-pontos,N+DETN:ms:mp
dois-quartos,dois-quartos,N+DETN:ms:mp
dom-joaquinense,dom-joaquinense,A+NA:ms:fs
dom-joaquinenses,dom-joaquinense,A+NA:mp:fp
dom-joão,dom-joão,N+NN:ms
dom-joões,dom-joão,N+NN:mp
dom-pedrense,dom-pedrense,A+NA:ms:fs
dom-pedrenses,dom-pedrense,A+NA:mp:fp
dom-quixote,dom-quixote,N+NN:ms
dom-quixotes,dom-quixote,N+NN:mp
dom-silveriense,dom-silveriense,A+NA:ms:fs
dom-silverienses,dom-silveriense,A+NA:mp:fp
dom-viçosense,dom-viçosense,A+NA:ms:fs
dom-viçosenses,dom-viçosense,A+NA:mp:fp
dona de casa,dona de casa,N+NDN:fs
donas de casa,dona de casa,N+NDN:fp
dor-de-corno,dor-de-corno,N+NDN:fs
dor-de-cotovelo,dor-de-cotovelo,N+NDN:fs
dores-de-corno,dor-de-corno,N+NDN:fp
dores-de-cotovelo,dor-de-cotovelo,N+NDN:fp
dorme-nenê,dorme-nenê,N+VN:ms
dorme-nenês,dorme-nenê,N+VN:mp
double face,double face,A+AN:ms:fs
dry-farming,dry-farming,N+NN:ms
duas-peças,duas-peças,N+DETN:ms:mp
dura-máter,dura-máter,N+VN:fs
dura-máteres,dura-máter,N+VN:fp
duro-a-fogo,duro-a-fogo,N+NPN:ms
duros-a-fogo,duro-a-fogo,N+NPN:mp
dó-de-peito,dó-de-peito,N+NDN:ms
dós-de-peito,dó-de-peito,N+NDN:mp
e-mail,e-mail,N+XN:ms
e-mails,e-mail,N+XN:mp
econômico-financeiro,econômico-financeiro,A+AA:ms
econômico-financeiros,econômico-financeiro,A+AA:mp
editor executivo,editor executivo,N+NN:ms
editora executiva,editor executivo,N+NN:fs
editoras executivas,editor executivo,N+NN:fp
editores executivos,editor executivo,N+NN:mp
eletroeletrônico,eletroeletrônico,N+NN:ms
eletroeletrônicos,eletroeletrônico,N+NN:mp
elias-faustense,elias-faustense,A+NA:ms:fs
elias-faustenses,elias-faustense,A+NA:mp:fp
elói-mendense,elói-mendense,A+NA:ms:fs
elói-mendenses,elói-mendense,A+NA:mp:fp
endosso-caução,endosso-caução,N+NN:ms
endosso-mandato,endosso-mandato,N+NN:ms
endossos-caução,endosso-caução,N+NN:mp
endossos-cauções,endosso-caução,N+NN:mp
endossos-mandato,endosso-mandato,N+NN:mp
endossos mandatos,endosso mandato,N+NN:mp
entra-e-sai,entra-e-sai,N+NCONJN:ms:mp
equivalente-grama,equivalente-grama,N+AN:ms
equivalentes-gramas,equivalente-grama,N+AN:mp
erva-cidreira,erva-cidreira,N+NN:fs
erva-doce,erva-doce,N+NA:fs
erva-mate,erva-mate,N+NN:fs
ervas-cidreiras,erva-cidreira,N+NN:fp
ervas-doces,erva-doce,N+NA:fp
ervas-mate,erva-mate,N+NN:fp
ervas-mates,erva-mate,N+NN:fp
escalda-pés,escalda-pés,N+VN:ms:mp
escola-modelo,escola-modelo,N+NN:fs
escolas-modelo,escola-modelo,N+NN:fp
escolas-modelos,escola-modelo,N+NN:fp
esconde-esconde,esconde-esconde,N+VV:ms:mp
espada-de-são-jorge,espada-de-são-jorge,N+NDNN:fs
espadas-de-são-jorge,espada-de-são-jorge,N+NDNN:fp
espalha-brasas,espalha-brasas,N+VN:ms:mp:fs:fp
espera-felizense,espera-felizense,A+NA:ms:fs
espera-felizenses,espera-felizense,A+NA:mp:fp
espera-marido,espera-marido,N+VN:ms
espera-maridos,espera-marido,N+VN:mp
espírito-santense,espírito-santense,A+NA:ms:fs
espírito-santenses,espírito-santense,A+NA:mp:fp
estado-maior,estado-maior,N+NA:ms
estados-gerais,estados-gerais,N+NA:mp
estados-maiores,estado-maior,N+NA:mp
estanca-rios,estanca-rios,N+VN:ms:mp
estrato-cúmulo,estrato-cúmulo,N+NN:ms
estratos-cúmulo,estrato-cúmulo,N+NN:mp
estratos-cúmulos,estrato-cúmulo,N+NN:mp
estrela-de-davi,estrela-de-davi,N+NDN:fs
estrela-do-mar,estrela-do-mar,N+NDN:fs
estrelas-de-davi,estrela-de-davi,N+NDN:fp
estrelas-do-mar,estrela-do-mar,N+NDN:fp
euro-asiática,euro-asiático,A+NA:fs
euro-asiáticas,euro-asiático,A+NA:fp
euro-asiático,euro-asiático,A+NA:ms
euro-asiáticos,euro-asiático,A+NA:mp
ex-abrupto,ex-abrupto,N+XN:ms
ex-jogador,ex-jogador,N+XN:ms
ex-jogadora,ex-jogador,N+XN:fs
ex-jogadoras,ex-jogador,N+XN:fp
ex-jogadores,ex-jogador,N+XN:mp
ex-librismo,ex-librismo,N+XN:ms
ex-librismos,ex-librismo,N+XN:mp
ex-librista,ex-librista,N+XN:ms:fs
ex-libristas,ex-librista,N+XN:mp:fp
ex-líbris,ex-líbris,N+XN:ms:mp
ex-mulher,ex-mulher,N+XN:fs
ex-mulheres,ex-mulheres,N+XN:fp
ex-officio,ex-officio,N+XN:ms
ex-presidente,ex-presidente,N+XN:ms
ex-presidentes,ex-presidente,N+XN:mp
ex-professo,ex-professo,N+XN:ms
ex-voto,ex-voto,N+XN:ms
ex-votos,ex-voto,N+XN:mp
extra-escolar,extra-escolar,A+XA:ms:fs
extra-escolares,extra-escolar,A+XA:mp:fp
extra-oficiais,extra-oficial,A+XA:mp:fp
extra-oficial,extra-oficial,A+XA:ms:fs
extra-oficialmente,extra-oficialmente,ADV+XADV
extra-sensíveis,extra-sensível,A+XA:mp:fp
extra-sensível,extra-sensível,A+XA:ms:fs
extra-uterina,extra-uterino,A+XA:fs
extra-uterinas,extra-uterino,A+XA:fp
extra-uterino,extra-uterino,A+XA:ms
extra-uterinos,extra-uterino,A+XA:mp
extrema-direita,extrema-direita,N+AN:ms:fs
extrema-esquerda,extrema-esquerda,N+AN:ms:fs
extrema-unção,extrema-unção,N+AN:fs
extrema-unções,extrema-unção,N+AN:fp
extremas-direitas,extrema-direita,N+AN:mp:fp
extremas-esquerdas,extrema-esquerda,N+AN:mp:fp
extremas-unções,extrema-unção,N+AN:fp
fac-similada,fac-similado,A+NA:fs
fac-similadas,fac-similado,A+NA:fp
fac-similado,fac-similado,A+NA:ms
fac-similados,fac-similado,A+NA:mp
fac-similar,fac-similar,A+NA:ms:fs
fac-símile,fac-símile,N+NN:ms
fac-símiles,fac-símile,N+NN:mp
fair play,fair play,N+NN:ms
far-niente,far-niente,N+VADV:ms
faria-lemense,faria-lemense,A+NA:ms:fs
faria-lemenses,faria-lemense,A+NA:mp:fp
faz-de-conta,faz-de-conta,A+VDN:ms:mp:fs:fp
faz-tudo,faz-tudo,N+VPRO:ms:mp:fs:fp
fazenda-modelo,fazenda-modelo,N+NN:fs
fazenda-novense,fazenda-novense,A+NA:ms:fs
fazenda-novenses,fazenda-novense,A+NA:mp:fp
fazendas-modelo,fazenda-modelo,N+NN:fp
fazendas-modelos,fazenda-modelo,N+NN:fp
feijão-com-arroz,feijão-com-arroz,N+NPN:ms
feijão-de-tropeiro,feijão-de-tropeiro,N+NDN:ms
feijão-preto,feijão-preto,N+NA:ms
feijão-tropeiro,feijão-tropeiro,N+NN:ms
feijão-virado,feijão-virado,N+NA:ms
feijões-com-arroz,feijão-com-arroz,N+NPN:mp
feijões-de-tropeiro,feijão-de-tropeiro,N+NDN:mp
feijões-pretos,feijão-preto,N+NA:mp
feijões-tropeiros,feijão-tropeiro,N+NN:mp
feijões-virados,feijão-virado,N+NA:mp
feira-grandense,feira-grandense,A+NA:ms:fs
feira-grandenses,feira-grandense,A+NA:mp:fp
fernando-prestense,fernando-prestense,A+NA:ms:fs
fernando-prestenses,fernando-prestense,A+NA:mp:fp
ferro-velho,ferro-velho,N+NA:ms
ferros-velhos,ferro-velho,N+NA:mp
filho-de-santo,filho-de-santo,N+NDN:ms
filhos-de-santo,filho-de-santo,N+NDN:mp
fim de semana,fim de semana,N+NDN:ms
fim-de-século,fim-de-século,A+NDN:ms:mp:fs:fp
finca-pé,finca-pé,N+VN:ms
fins de semana,fim de semana,N+NDN:mp
flash-back,flash-back,N+NN:ms
flint-glass,flint-glass,N+NN:ms
flip-flop,flip-flop,N+NN:ms:mp
flor-da-noite,flor-da-noite,N+NDN:fs
flor-de-lis,flor-de-lis,N+NDN:fs
flor-do-campo,flor-do-campo,N+NDN:fs
flores-da-noite,flor-da-noite,N+NDN:fp
flores-de-lis,flor-de-lis,N+NDN:fp
flores-do-campo,flor-do-campo,N+NDN:fp
fogo-central,fogo-central,N+NA:ms:fs
fogo-selvagem,fogo-selvagem,N+NA:ms
fogos-centrais,fogo-central,N+NA:mp:fp
fogos-selvagens,fogo-selvagem,N+NA:mp
folha-de-flandres,folha-de-flandres,N+NDN:fs
folha sebrae,folha sebrae,N+NN:fs
folha-seca,folha-seca,N+NA:fs
folhas-de-flandres,folha-de-flandres,N+NDN:fp
folhas-secas,folha-seca,N+NA:fp
follow-up,follow-up,N+NP:ms
fora-da-lei,fora-da-lei,A+NDN:ms:mp:fs:fp
força-tarefa,força-tarefa,N+NN:fs
forças-tarefa,força-tarefa,N+NN:fp
forças-tarefas,força-tarefa,N+NN:fp
foto-legenda,foto-legenda,N+NN:fs
fotos-legenda,foto-legenda,N+NN:fp
fotos-legendas,foto-legenda,N+NN:fp
fox-blue,fox-blue,N+NN:ms
fox terrier,fox terrier,N+NN:ms
franco-alemães,franco-alemão,A+NA:mp
franco-alemão,franco-alemão,A+NA:ms
franco-atirador,franco-atirador,N+NA:ms
franco-atiradores,franco-atirador,N+NA:mp
franco-brasileira,franco-brasileiro,A+NA:fs
franco-brasileiras,franco-brasileiro,A+NA:fp
franco-brasileiro,franco-brasileiro,A+NA:ms
franco-brasileiros,franco-brasileiro,A+NA:mp
franco-provençais,franco-provençal,N+NA:mp
franco-provençal,franco-provençal,N+NA:ms
franco-suíço,franco-suíço,A+NA:ms
franco-suíços,franco-suíço,A+NA:mp
free lance,free lance,A+AN:ms:mp
frege-moscas,frege-moscas,N+VN:ms:mp
fruta-do-conde,fruta-do-conde,N+NDN:fs
frutas-do-conde,fruta-do-conde,N+NDN:fp
full-back,full-back,N+NN:ms
funding-loan,funding-loan,N+NN:ms
fura-bolo,fura-bolo,N+VN:ms
fura-bolos,fura-bolo,N+VN:mp
furta-cor,furta-cor,A+VN:ms:fs
furta-cores,furta-cor,A+VN:mp:fp
furta-passo,furta-passo,N+VN:ms
furta-passos,furta-passo,N+VN:mp
fã-clube,fã-clube,N+NN:ms
fãs-clube,fã-clube,N+NN:mp
fãs-clubes,fã-clube,N+NN:mp
físico-químico,físico-químico,A+NN:ms
físico-químicos,físico-químico,A+NN:mp
gaita-de-boca,gaita-de-boca,N+NDN:fs
gaitas-de-boca,gaita-de-boca,N+NDN:fp
galego-portugueses,galego-português,A+NA:mp
galego-português,galego-português,A+NA:ms
ganha-perde,ganha-perde,N+VV:ms:mp
ganha-pães,ganha-pão,N+VN:mp
ganha-pão,ganha-pão,N+VN:ms
garden-party,garden-party,N+NN:ms
garoto-propaganda,garoto-propaganda,N+NN:ms
garotos-propaganda,garoto-propaganda,N+NN:mp
garotos-propagandas,garoto-propaganda,N+NN:mp
gata-parida,gata-parida,N+NA:fs
gatas-paridas,gata-parida,N+NA:fp
gato-de-botas,gato-de-botas,N+NDN:ms
gato-do-mato,gato-do-mato,N+NDN:ms
gato-pingado,gato-pingado,N+NA:ms
gatos-de-botas,gato-de-botas,N+NDN:mp
gatos-do-mato,gato-do-mato,N+NDN:mp
gatos-pingados,gato-pingado,N+NA:mp
gay lussac,gay lussac,N+NN:ms:mp:fs:fp
gelo-seco,gelo-seco,N+NA:ms
gelos-secos,gelo-seco,N+NA:mp
generais-de-brigada,general-de-brigada,N+NDN:mp
general-de-brigada,general-de-brigada,N+NDN:ms
gentil-dona,gentil-dona,N+AN:fs
gentil-homem,gentil-homem,N+AN:ms
gentis-donas,gentil-dona,N+AN:fp
gentis-homens,gentil-homem,N+AN:mp
gim-tônica,gim-tônica,N+NN:ms
gins-tônicas,gim-tônica,N+NN:mp
globe-trotter,globe-trotter,N+AN:ms
gota-serena,gota-serena,N+NA:fs
gotas-serenas,gota-serena,N+NA:fp
gram-negativa,gram-negativo,A+NA:fs
gram-negativas,gram-negativo,A+NA:fp
gram-negativo,gram-negativo,A+NA:ms
gram-negativos,gram-negativo,A+NA:mp
gram-positiva,gram-positivo,A+NA:fs
gram-positivas,gram-positivo,A+NA:fp
gram-positivo,gram-positivo,A+NA:ms
gram-positivos,gram-positivo,A+NA:mp
graxa-de-estudante,graxa-de-estudante,N+NDN:fs
graxas-de-estudante,graxa-de-estudante,N+NDN:fp
greco-latina,greco-latino,A+NA:fs
greco-latinas,greco-latino,A+NA:fp
greco-latino,greco-latino,A+NA:ms
greco-latinos,greco-latino,A+NA:mp
greco-romana,greco-romano,A+NA:fs
greco-romanas,greco-romano,A+NA:fp
greco-romano,greco-romano,A+NA:ms
greco-romanos,greco-romano,A+NA:mp
greco-turca,greco-turco,A+NA:fs
greco-turcas,greco-turco,A+NA:fp
greco-turco,greco-turco,A+NA:ms
greco-turcos,greco-turco,A+NA:mp
grill-room,grill-room,N+NN:ms
gros-grain,gros-grain,N+NN:ms
gráfico-visuais,gráfico-visual,A+NA:mp:fp
gráfico-visual,gráfico-visual,A+NA:ms:fs
grã-bretanha,grã-bretanha,N+NN:fs
grã-cruz,grã-cruz,N+NN:fs
grã-cruzes,grã-cruz,N+NN:fp
grã-duque,grã-duque,N+NN:ms
grã-duques,grã-duque,N+NN:mp
grã-fina,grã-fino,A+NA:fs
grã-finagem,grã-finagem,N+NN:fs
grã-finagens,grã-finagem,N+NN:fp
grã-finas,grã-fino,A+NA:fp
grã-finismo,grã-finismo,N+NN:ms
grã-finismos,grã-finismo,N+NN:mp
grã-fino,grã-fino,A+NA:ms
grã-finos,grã-fino,A+NA:mp
grã-mestre,grã-mestre,N+NN:ms
grã-mestres,grã-mestre,N+NN:mp
grã-vizir,grã-vizir,N+NN:ms
grã-vizires,grã-vizir,N+NN:mp
grão-de-bico,grão-de-bico,N+NDN:ms
grão-ducado,grão-ducado,N+NN:ms
grão-ducados,grão-ducado,N+NN:mp
grão-duque,grão-duque,N+NN:ms
grão-duques,grão-duque,N+NN:mp
grão-duquesa,grão-duque,N+NN:fs
grão-duquesas,grão-duque,N+NN:fp
grão-mestre,grão-mestre,N+NN:ms
grão-mestres,grão-mestre,N+NN:mp
grão-pará,grão-pará,N+NN:ms
grão-vizir,grão-vizir,N+NN:ms
grão-vizires,grão-vizir,N+NN:mp
grãos-de-bico,grão-de-bico,N+NDN:mp
guajará mirim,guajará mirim,N+NA:ms
guarda-arneses,guarda-arnês,N+VN:mp
guarda-arnês,guarda-arnês,N+VN:ms
guarda-barreira,guarda-barreira,N+VN:ms:fs
guarda-barreiras,guarda-barreira,N+VN:mp:fp
guarda-cadeira,guarda-cadeira,N+VN:ms
guarda-cadeiras,guarda-cadeira,N+VN:mp
guarda-cancela,guarda-cancela,N+VN:ms
guarda-cancelas,guarda-cancela,N+VN:mp
guarda-chaves,guarda-chaves,N+VN:ms:mp
guarda-chuva,guarda-chuva,N+VN:ms
guarda-chuvada,guarda-chuvada,N+VN:fs
guarda-chuvadas,guarda-chuvada,N+VN:fp
guarda-chuvas,guarda-chuva,N+VN:mp
guarda-civil,guarda-civil,N+NA:ms
guarda-comida,guarda-comida,N+VN:ms
guarda-comidas,guarda-comida,N+VN:mp
guarda-costas,guarda-costas,N+VN:ms:mp
guarda-fechos,guarda-fechos,N+VN:ms:mp
guarda-fio,guarda-fio,N+VN:ms
guarda-fios,guarda-fio,N+VN:mp
guarda-florestal,guarda-florestal,N+NA:ms
guarda-freio,guarda-freio,N+VN:ms
guarda-freios,guarda-freio,N+VN:mp
guarda-jóias,guarda-jóias,N+VN:ms:mp
guarda-linha,guarda-linha,N+VN:ms
guarda-linhas,guarda-linha,N+VN:mp
guarda-livros,guarda-livros,N+VN:ms:mp:fs:fp
guarda-louça,guarda-louça,N+VN:ms
guarda-louças,guarda-louça,N+VN:mp
guarda-marinha,guarda-marinha,N+NA:ms
guarda-menor,guarda-menor,N+NA:ms
guarda-mor,guarda-mor,N+NA:ms
guarda-móveis,guarda-móveis,N+VN:ms:mp
guarda-noturna,guarda-noturna,N+NA:fs
guarda-noturno,guarda-noturno,N+NA:ms
guarda-pó,guarda-pó,N+VN:ms
guarda-pós,guarda-pó,N+VN:mp
guarda-roupa,guarda-roupa,N+VN:ms
guarda-roupas,guarda-roupa,N+VN:mp
guarda-sol,guarda-sol,N+VN:ms
guarda-sóis,guarda-sol,N+VN:mp
guarda-vidas,guarda-vidas,N+VN:ms:mp:fs:fp
guarda-volante,guarda-volante,N+NA:fs
guarda-volante,guarda-volante,N+NA:ms
guarda-volantes,guarda-volante,N+NA:mp
guarda-volumes,guarda-volumes,N+VN:ms:mp
guardas-civis,guarda-civil,N+NA:mp
guardas-florestais,guarda-florestal,N+NA:mp
guardas-marinha,guarda-marinha,N+NA:mp
guardas-marinhas,guarda-marinha,N+NA:mp
guardas-menores,guarda-menor,N+NA:mp
guardas-mores,guarda-mor,N+NA:mp
guardas-noturnas,guarda-noturna,N+NA:fp
guardas-noturnos,guarda-noturno,N+NA:mp
guardas-volantes,guarda-volante,N+NA:fp
guiné-bissau,guiné-bissau,N+NN:fs
guta-percha,guta-percha,N+NN:fs
guta-perchas,guta-percha,N+NN:fp
gutas-perchas,guta-percha,N+NN:fp
half-back,half-back,N+NN:ms
herói-cômica,herói-cômico,A+NA:fs
herói-cômicas,herói-cômico,A+NA:fp
herói-cômico,herói-cômico,A+NA:ms
herói-cômicos,herói-cômico,A+NA:mp
hewlett packard,hewlett packard,N+AN:fs
high life,high life,N+AN:ms
hiper-hedonismo,hiper-hedonismo,N+XN:ms
hiper-hedonismos,hiper-hedonismo,N+XN:mp
hiper-hedônica,hiper-hedônico,A+XA:fs
hiper-hedônicas,hiper-hedônico,A+XA:fp
hiper-hedônico,hiper-hedônico,A+XA:ms
hiper-hedônicos,hiper-hedônico,A+XA:mp
hiper-hidrose,hiper-hidrose,N+XN:fs
hiper-hidroses,hiper-hidrose,N+XN:fp
hiper-humana,hiper-humano,A+XA:fs
hiper-humanas,hiper-humano,A+XA:fp
hiper-humano,hiper-humano,A+XA:ms
hiper-humanos,hiper-humano,A+XA:mp
hipotético-dedutivo,hipotético-dedutivo,A+NA:ms
hipotético-dedutivos,hipotético-dedutivo,A+NA:mp
hispano-americana,hispano-americano,A+NA:fs
hispano-americanas,hispano-americano,A+NA:fp
hispano-americanismo,hispano-americanismo,N+NN:ms
hispano-americanismos,hispano-americanismo,N+NN:mp
hispano-americano,hispano-americano,A+NA:ms
hispano-americanos,hispano-americano,A+NA:mp
histórico-culturais,histórico-cultural,A+NA:mp:fp
histórico-cultural,histórico-cultural,A+NA:ms:fs
homem-chave,homem-chave,N+NN:ms
homem-feito,homem-feito,N+NA:ms
homem-mosca,homem-mosca,N+NN:ms
homem-pássaro,homem-pássaro,N+NN:ms
homem-rã,homem-rã,N+NN:ms
homem-sanduíche,homem-sanduíche,N+NN:ms
homens-chave,homem-chave,N+NN:mp
homens-chaves,homem-chave,N+NN:mp
homens-feitos,homem-feito,N+NA:mp
homens-mosca,homem-mosca,N+NN:mp
homens-moscas,homem-mosca,N+NN:mp
homens-pássaro,homem-pássaro,N+NN:mp
homens-pássaros,homem-pássaro,N+NN:mp
homens-rã,homem-rã,N+NN:mp
homens-rãs,homem-rã,N+NN:mp
homens-sanduíche,homem-sanduíche,N+NN:mp
homens-sanduíches,homem-sanduíche,N+NN:mp
hong-kong,hong-kong,N+NN:fs
hors-concours,hors-concours,A+AN:ms:fs
hors-ligne,hors-ligne,A+AN:ms:fs
horse-power,horse-power,N+NN:ms:mp
hot dog,hot dog,N+AN:ms
ibero-americana,ibero-americano,A+NA:fs
ibero-americanas,ibero-americano,A+NA:fp
ibero-americano,ibero-americano,A+NA:ms
ibero-americanos,ibero-americano,A+NA:mp
igreja-novense,igreja-novense,A+NA:ms:fs
igreja-novenses,igreja-novense,A+NA:mp:fp
in-octavo,in-octavo,A+XDET:ms
in-quarto,in-quarto,A+XDET:ms
indo-europeu,indo-europeu,A+NA:ms
indo-europeus,indo-europeu,A+NA:mp
indo-européia,indo-europeu,A+NA:fs
indo-européias,indo-europeu,A+NA:fp
indo-germânica,indo-germânico,A+NA:fs
indo-germânicas,indo-germânico,A+NA:fp
indo-germânico,indo-germânico,A+NA:ms
indo-germânicos,indo-germânico,A+NA:mp
indo-iraniana,indo-iraniano,A+NA:fs
indo-iranianas,indo-iraniano,A+NA:fp
indo-iraniano,indo-iraniano,A+NA:ms
indo-iranianos,indo-iraniano,A+NA:mp
