lemma_plural,lemma_singular,classification
auto-estéril,auto-estéril,A+XA:ms:fs
auto-extermínio,auto-extermínio,N+XN:ms
auto-extermínios,auto-extermínio,N+XN:mp
autogestão,autogestão,N+XN:fs
autogestões,autogestão,N+XN:fp
auto-hemoterapia,auto-hemoterapia,N+XN:fs
auto-hemoterapias,auto-hemoterapia,N+XN:fp
auto-hemoterápica,auto-hemoterápico,A+XA:fs
auto-hemoterápicas,auto-hemoterápico,A+XA:fp
auto-hemoterápico,auto-hemoterápico,A+XA:ms
auto-hemoterápicos,auto-hemoterápico,A+XA:mp
auto-imposição,auto-imposição,N+XN:fs
auto-imposições,auto-imposição,N+XN:fp
auto-incompatibilidade,auto-incompatibilidade,N+XN:fs
auto-incompatibilidades,auto-incompatibilidade,N+XN:fp
auto-indutância,auto-indutância,N+XN:fs
auto-indutâncias,auto-indutância,N+XN:fp
auto-indução,auto-indução,N+XN:fs
auto-induções,auto-indução,N+XN:fp
auto-instrução,auto-instrução,N+XN:fs
auto-instruções,auto-instrução,N+XN:fp
auto-oscilação,auto-oscilação,N+XN:fs
auto-oscilações,auto-oscilação,N+XN:fp
auto-radiografia,auto-radiografia,N+XN:fs
auto-radiografias,auto-radiografia,N+XN:fp
auto-radiográfica,auto-radiográfico,A+XA:fs
auto-radiográficas,auto-radiográfico,A+XA:fp
auto-radiográfico,auto-radiográfico,A+XA:ms
auto-radiográficos,auto-radiográfico,A+XA:mp
auto-regeneração,auto-regeneração,N+XN:fs
auto-regenerações,auto-regeneração,N+XN:fp
auto-regulamentação,auto-regulamentação,N+XN:fs
auto-regulamentações,auto-regulamentação,N+XN:fp
auto-replicação,auto-replicação,N+XN:fs
auto-replicações,auto-replicação,N+XN:fp
auto-respeito,auto-respeito,N+XN:ms
auto-respeitos,auto-respeito,N+XN:mp
auto-retrato,auto-retrato,N+XN:ms
auto-retratos,auto-retrato,N+XN:mp
auto-serviço,auto-serviço,N+XN:ms
auto-serviços,auto-serviço,N+XN:mp
auto-suficiente,auto-suficiente,A+XA:ms:fs
auto-suficientes,auto-suficiente,A+XA:mp:fp
auto-suficiência,auto-suficiência,N+XN:fs
auto-suficiências,auto-suficiência,N+XN:fp
auto-sugestionáveis,auto-sugestionável,A+XA:mp:fp
