canonical_form,graph_id
afogueado,A201
afoitado,A201
afoito,A201D081
afortunado,A201
africanista,A301
africano,A201
afro,A201
afrodisíaco,A201
afrontado,A201
afrontoso,A201
aftosa,A101
afuaense,A301
afugentado,A201
afundado,A201
afásico,A201
afável,A308S23
afônico,A201
agachado,A201
agaloado,A201
agaricáceo,A201
agarradiço,A201
agarrado,A201D081
agasalhadeiro,A201
agasalhado,A201
agasalhador,A218
agastadiço,A201
agastado,A201
agateada,A101
agateado,A201
agaviáceo,A201
agaváceo,A201
agenciador,A218
agenciável,A308
agente,A301
agerato,A201
agiota,A301
agitadiço,A201
agitado,A201S03
agitador,A218
agitável,A308
aglomerado,A201
aglomerante,A301
aglomerável,A308
aglutinado,A201
aglutinante,A301
aglutinativo,A201
aglutinável,A308
agnado,A201
agnóstico,A201
agoniado,A201
agonizante,A301
agonizável,A308
agostiniano,A201
agoural,A308
agoureiro,A201
agourento,A201
agraciado,A201
agradado,A201
agradecido,A201
agradecível,A308
agradável,A308S23
agramatical,A308
agravado,A201
agravante,A301
agravável,A308
agre,A301
agredido,A201
agregado,A201
agressivo,A201
agressor,A218
agreste,A301
agrestinense,A301
agricultor,A218
agriculturável,A308
agricultável,A308
agridoce,A301
agrilhoado,A201
agro,A201S48
agroindustrial,A308
agronômico,A201
agropastoril,A310
agropecuário,A201
agrotóxico,A201
agrário,A201
agrícola,A301
agrósteo,A201
aguacento,A201
aguado,A201
agudense,A301
agudo,A201D081S53
aguiaense,A301
aguiarense,A301
aguilhoado,A201
agulheado,A201
aguçado,A201
agâmico,A201
agônico,A201
aidético,A201
aimoreense,A301
aimoré,A301
airado,A201
airoso,A201
airãoense,A301
aiuabense,A301
aiuruoquense,A301
aizoáceo,A201
ajaezado,A201
ajantarado,A201
ajeitado,A201D081
ajoelhado,A201
ajoujado,A201
ajudado,A201
ajudante,A301
ajuizável,A308
ajumentado,A201
ajuntável,A308
ajustado,A201D081
ajustável,A308
alabastrino,A201
aladeirado,A201
alado,A201
alagadiço,A201
alagado,A201
alagartado,A201
alagoano,A201
alagoense,A301
